,drg0_prime_mean_kJ_mol,drg0_prime_std,adjusted_drg0_prime,driving_force_kJ_mol,driving_force_shadow_price,flux
NDPK5,1.4042465519029177,2.4051831110562962,-1.7554186032372705,-25.734078527176347,-1.335705653351342e-10,0.01060080228943937
SHK3Dr,-3.94507209140178,1.3111724612514963,-4.007218066024777,-15.065678430372472,-2.9323022816375894e-10,0.14910416675412214
NDPK6,-1.116819043431931,1.2768398971776587,-2.7656628059952197,-26.792307020368956,-1.267262330970645e-10,0.010266890946643615
NDPK8,2.470121880555603,1.468695227213398,0.6259429992023575,-24.22193903274835,-1.4474110324132419e-10,0.010266890946643615
DHORTS,-10.159995690685856,1.69271636881096,-8.264956041078698,-6.140544541089493,-0.07310515450638458,-0.12979577278510185
OMPDC,-20.217801086482,8.614866047121478,-30.843489294240776,-36.61152672452749,-8.588890945515588e-11,0.12979577278510185
G5SD,-5.246545077958815,1.6151493062298607,-5.5700172982482705,-21.432056300381564,-1.7114852858667387e-10,0.08673651219943072
CS,-41.7647413632181,0.4373194541395671,-41.676594967990866,-36.819162468090425,-8.530770881875354e-11,4.502536361286634
ICDHyr,5.370438197274959,3.186776651523545,-2.7795551396103804,-6.140544541099132,-0.007203835241542634,4.502536361286634
ACALD,-24.12217866234657,1.200287252088607,-24.119031498487075,-0.0,,0.0
PPA,-15.645520146360042,0.1909427924166485,-15.57781811174149,-43.69750847633539,-6.968397474128731e-11,1.2284845497866965
PPCK,11.24511860422278,3.1202021049407436,3.779672946185113,-11.436727848110602,-4.941495631400162e-10,1.9607759286366282
ME1,12.02202495252163,3.1183285669496845,4.240544332556773,-0.0,,0.0
ALATA_L,-0.2530758376144055,0.5312336431379002,-0.16150701166821513,-10.721463265242473,-5.713090000175303e-10,-0.22881716187242007
XYLK,-27.236620458122992,2.025821481498066,-26.867557038990153,-0.0,,0.0
RBK,-31.776414167874613,2.0417243106380543,-34.82540772943866,-0.0,,0.0
GLYK,-19.1413524829866,2.078842931300756,-19.13016060788849,-0.0,,0.0
ASPTA,2.848671533336056,0.5435878302628501,2.6044536303606804,-6.1405445413669755,-0.0006862030196457064,-1.1481625882711881
FBP,-10.583442091823857,0.6920454485715519,-10.783707418262296,-6.1405445410992625,-0.006017647893605474,0.34084173614947466
PYK,-22.78899668038584,0.4235342514480188,-22.932433842476563,-0.0,,0.0
GTHOr,-10.804371769086424,0.7839423603123944,-11.124275767950907,-0.0,,0.0
ILETA,-6.296940232668628,3.5184885757568574,-8.964920788895514,-14.505807739851605,-3.128556097964302e-10,-0.1139963907298564
DHORD5,-17.729929939256685,5.020368326411074,-15.728869942040262,0.0,,0.0
VALTA,1.3419631592724537,3.4657441762217793,-2.2682273060722213,-19.675266243939202,-1.9336341960819699e-10,-0.16603829804951484
IPPMIb,-0.3962300459374679,1.9071124388522913,2.1708767627766887,-7.66271789208869,-1.719335650950446e-09,-0.1767772164290413
ORPT,1.2108551867651682,1.3111724612514968,3.007567366319318,-18.68867626487174,-2.0856629970450781e-10,-0.12979577278510185
ACHBS,-15.050902596477629,4.9084195657957075,-30.044444232456147,-24.064136063778616,-1.4601541193257795e-10,0.1139963907298564
DHAD2,-36.928288805961145,1.4003928194704445,-37.69434144514652,-30.844398595518392,-1.059397739336098e-10,0.1139963907298564
ACLS,-23.710138174913144,3.725894435449142,-39.41386545924715,-20.749000971171945,-1.7915140520847257e-10,0.3430415226259713
TRPS2,-50.41493032159709,1.1219658203374536,-48.66226931037013,-47.59920955570184,-6.31260240229799e-11,0.02230378667278388
PSCVT,-15.8822649112314,2.2982377493227832,-22.084138860240902,-45.16163741267373,-6.706938809076833e-11,0.14910416675412214
PFL,-20.304440003005613,1.4892371754120148,-22.447490739171666,0.0,,0.0
ANS,-112.6948381329536,7.57875929989724,-90.30529594715465,-118.38399978785893,-2.3316431302123988e-11,0.02230378667278388
FRD2,-34.11618196023463,5.2613095561662035,-37.542072007214806,-0.0,,0.0
ANPRT,-65.80000819242568,3.624508680977635,-65.85605001960721,-72.86158431026637,-3.9224820839459034e-11,0.02230378667278388
CHORM,-48.72492478822781,4.638893640788395,-50.14952447888241,-45.85647692085884,-6.58960279610871e-11,0.12680038008133826
PTAr,9.38796214078124,0.6064527562024628,9.3681552009838,-10.974210314554144,-5.414378956571424e-10,-0.22779188532854308
CHORS,-47.04605201378517,3.83007178688998,-46.69460768624878,-63.12309268641312,-4.5928471093567846e-11,0.14910416675412214
IGPS,-69.86559323790038,6.010880862433656,-73.01488182074785,-72.28606957680122,-3.956610875893744e-11,0.02230378667278388
ACKr,14.689587668969322,0.5495866609458808,14.751943650417632,-10.44712026359718,-6.077059220654574e-10,0.22779188532854308
LEUTAi,0.0378851604100653,1.5770213931779395,0.21738273602489322,-23.353540259881914,-1.5204309101939354e-10,0.1767772164290413
ENO,-3.894828445649712,0.30491038787315633,-3.517078759087299,-6.140544541089458,-0.09259673867449413,-1.6363961655579058
FBA,24.8482998500812,0.5290407445154958,25.39190460062631,-6.140544541099054,-0.005941822553593054,-0.34084173614947466
HCO3E,-11.271494293581018,3.09608666382253,-2.9562431424551505,-8.993107774268278,-9.1745728620006e-10,1.3681046142297544
IMPC,19.601761381729027,5.443840609638234,20.04331255249194,-11.658666683258422,-4.742751396890504e-10,-0.21248689609589405
IMPD,13.621260142547593,3.981784993950954,-1.0597567081504486,-19.22179077038254,-2.0006638323351965e-10,0.09517414970293239
PPS,-10.10998356341738,0.49798702929259925,-9.897995546336492,-0.0,,0.0
PGI,2.416048750882083,0.3826657823618915,2.312606778797707,0.0,,0.0
PGK,19.543984097843225,0.44127734067909075,19.209231491860308,-6.140544541089709,-0.06962256873891405,0.9412602384011769
PGL,-28.028150075730945,1.6588836067672512,-27.856708511247504,-0.0,,0.0
RPE,-3.390614099653265,1.1537200194917536,-1.4919882881746371,-6.140544541091628,-0.02629631705735987,-0.3037669829672358
DHQTi,-5.29022208506048,2.0731456914217943,-7.0096976328991065,-13.01776558321421,-3.805487860035485e-10,0.14910416675412214
IPMD,12.727272581854775,0.9862312728831625,11.233105019822233,-7.905292135261944,-1.4829932819122238e-09,0.1767772164290413
AIRC3,-30.403133552927944,6.027288685196741,-17.610441837729862,-6.140544541088421,-0.07622432712058343,-0.17531404909967288
TALA,-1.22089935842082,1.413281168711095,-1.5626293633469572,-6.140544541108298,-0.0038731332353118615,-0.07733140810655684
ADSL2r,24.94399731095891,2.931870753584037,23.143432365647932,-6.140544541093453,-0.01502100862190401,0.17531404909967288
TKT1,-1.4790398321905602,2.3695192108329284,-2.2747351039802144,-6.140544541107885,-0.003877420954027617,-0.07733140810655684
RNDR1,-44.05985206166142,3.7376646440123507,-50.20390149390415,-34.38600085411929,-9.265635884441047e-11,0.010266890946643615
ALCD2x,15.1675782723426,0.3233520540517112,15.145065001007126,-0.0,,0.0
RNDR3,-40.58892126572215,2.943661042715291,-42.94616067627989,-38.687647444675434,-8.041023467943282e-11,0.01060080228943937
RNDR4,-44.77765087473715,2.41206326929862,-44.58246937750194,-40.10629072636546,-7.705176405425138e-11,0.010266890946643615
TMDS,-45.29303434274883,2.941525033941928,-45.92853860966805,-54.832888287273086,-5.3748093562573444e-11,0.010266890946643615
DHAD1,-36.93208668299586,1.4003928194704445,-37.698139322181234,-31.119755386043323,-1.0477201695580148e-10,0.3430415226259713
IPPMIa,-3.6899432044935088,1.9030338036478531,-7.004365303631081,-7.595886045624392,-1.798282593213747e-09,-0.1767772164290413
MDH,23.56590302868453,0.3048878319058892,23.39330523012993,-6.140544541093561,-0.014837910161332091,7.61147487819445
FUM,-3.4245366324884285,0.27824312126906164,-3.3838452741616303,-6.140544541093952,-0.015321406662920135,14.491008376267416
KARA1,13.037042450146856,1.0110966471913134,11.62928184996191,-22.12348928997103,-1.6374479184056964e-10,-0.3430415226259713
KARA2,-13.036798417898837,1.0110966471913134,-11.629037817713852,-22.192145345383317,-1.6304421662098526e-10,0.1139963907298564
ACCOAC,-11.766443833325402,1.4948897800518903,-10.04155236885115,-28.31403425795773,-1.180292848750443e-10,0.9469333306431676
KAS14,12.118530018222684,3.198489611869459,3.2286073602574343,-0.0,,0.0
ARGSS,10.457588719715206,4.514448690304906,8.86791654187562,-26.140513971300056,-1.3085621102782275e-10,0.11606146170181182
AGPR,2.709816348528677,1.6151493062298605,3.0332885688181985,-15.940866963018383,-2.6704431992471597e-10,-0.11606146170181182
ICL,8.908189443721632,1.3512250300488837,9.362927308684451,-0.0,,0.0
GLYCL,19.14678069839955,4.066891938591214,13.792559034684427,-6.140544541098531,-0.00753797617442342,0.02144919336536588
XYLI1,3.6677142494769672,0.5844606793432598,3.700871907710435,0.0,,0.0
PPC,-43.54025268089428,3.111905155070555,-35.93367207592032,-0.0,,0.0
G3PT,-13.153781593684872,2.080885819035162,-13.023838523099814,-0.0,,0.0
SADT2,16.1094509536888,1.7851184624010197,13.430867074409704,-22.079613492506553,-1.6419499531337453e-10,0.09646231766814796
GHMT2r,-9.957203408221565,2.505303797996174,-4.387906535259323,-6.1405445410983575,-0.0075561576451020135,0.43714723450699594
DHORD2,-125.47329094192456,6.326652864064789,-125.29668527231294,-99.17415737108695,-2.8130935168274865e-11,0.12979577278510185
SDPDS,8.202807774280949,3.740924516468003,12.6081687426753,-9.430426859071645,-7.955055004051833e-10,0.1455512088116832
UMPK,0.6286235339385082,3.1922841504635695,1.5293323899184061,-20.194875641094022,-1.8621426039036625e-10,0.14833314937622127
CTPS2,-25.32586820693869,2.6309324725198056,-21.77270432947179,-81.8348809512648,-3.4574852714819086e-11,0.06298603795803585
NDPK7,3.826286680399003,2.4051831110564037,1.7636182516819865,-23.55778378951564,-1.5026027867271701e-10,0.01060080228943937
TRPS3,19.166513454819093,2.9318707535840245,16.315573515583793,-12.953401872613393,-3.841442314458558e-10,0.02230378667278388
ADK1,0.6038461671316752,0.15979053472263874,0.6764302578124983,-20.844313884846102,-1.7798944234850215e-10,0.886194818151077
NDPK2,-0.587918266864579,1.2628586546322247,-1.3027072574609484,-24.902799175228335,-1.394884672053059e-10,0.15660363502069707
NDPK4,0.8343423475710136,2.6171935835279214,-3.945132909553667,-26.341813470496287,-1.295522290683643e-10,0.010266890946643615
ACODA,-7.001151736473133,3.4970619113237573,-7.7745806137787365,-13.406246791567396,-3.6020141780585894e-10,0.11606146170181182
ADSS,-7.201337183171485,2.132881548959369,-10.947741985663134,-24.668317875817383,-1.4125383005409493e-10,0.11731274639296164
ASNS2,-31.93719233992353,3.563898932730688,-30.69097969348578,-55.38946351555217,-5.314066519030396e-11,0.09458401731801484
ASPCT,-22.925011990612784,2.9318707535840582,-17.931115994115213,-26.790887798741082,-1.2673496462582664e-10,0.12979577278510185
MCOATA,9.337677216374436,1.59701121075709,6.541902030548849,-7.538893818982129,-1.8715771527365833e-09,0.9469333306431676
DAPE,-1.6526074298638112,2.931870753584056,-0.31217581369520797,-10.018458179674072,-6.748776254429342e-10,0.1455512088116832
DHDPRy,-18.51619950121769,3.9391747710777167,-15.482061622617344,-19.943704334400927,-1.896031234210032e-10,0.1455512088116832
HSK,-41.84905070105419,4.491288355819967,-34.21157117664427,-59.83750990124993,-4.8738707220949546e-11,0.213536892280769
SDPTA,-1.1727043932019643,2.9318707535840467,-0.664797533673795,-9.933116324381238,-6.900629066961016e-10,-0.1455512088116832
THRS,-29.691230538026925,2.8092824173653956,-29.81286127069691,-47.65117834201206,-6.304699429764948e-11,0.213536892280769
HSST,-29.196241305137136,5.452876154145601,-26.758285353097392,-48.60186033675681,-6.163542360830522e-11,0.06030258358273601
PPNDH,-61.78177160255919,11.317291926000584,-43.62578872998719,-53.12038957160398,-5.570733373361422e-11,0.07269340178972443
DTMPK,-2.326793088855694,2.931870753584062,-2.326194248721599,-25.912114083460047,-1.3236782022674286e-10,0.010266890946643615
NDPK1,-2.1632799430633853,1.332575434711222,1.3789184207209289,-16.691961816872112,-2.480340506947234e-10,0.2983484114746026
TRDR,-3.8606555887032,1.4734461038033018,-3.868330215146159,-14.793399086331977,-3.0245661208258167e-10,0.13819770414031393
DDPA,-74.23897251962109,2.3508607107719306,-76.98980538388557,-89.46865113698694,-3.1407420564217034e-11,0.14910416675412214
MALS,-40.97608976438679,2.0817586174389335,-40.492410965713674,-0.0,,0.0
NADTRHD,-0.313020936045943,0.33576292404529984,-0.3994278979082028,-0.0,,0.0
G3PD2,20.036644655571468,0.8053510709883477,19.964322508262313,-20.47487214208642,-1.825766850003799e-10,-0.05455114708132571
GMPS2,-1.6143098946486134e-07,67656.96475850974,-0.002212167136370624,-53.09106643114077,-5.5742092161344266e-11,0.09517414970293239
P5CR,-9.474892918314794,6.029368087295345,-7.596218000009461,-20.235627986390877,-1.8567585409628798e-10,0.08673651219943072
AKGDH,-28.90329547062029,3.884974299684982,-34.68340072812554,-23.46544149335611,-1.510608143824827e-10,4.08232011907297
ATPPRT,-38.55768860311099,5.077037769398501,-53.84425327286238,-73.25115776372259,-3.899712361192593e-11,0.03717284699622116
HISTD,-23.371544504808615,2.2415883556743212,-28.154696770386867,-72.64373965869319,-3.9353307895020436e-11,0.03717284699622116
DHDPS,-130.59541464377398,6.217347477050016,-128.91666835387807,-101.02449173271194,-2.758237906171122e-11,0.1455512088116832
IGPDH,-42.02433251451435,1.947905958690577,-40.86977240269306,-36.73868637529269,-8.55320068613379e-11,0.03717284699622116
PRPPS,-3.834019867379797,2.024275520555874,-1.5056164583585918,-17.232627131600832,-2.3594441018529416e-10,0.3654802863867865
PRATPP,-56.86468553301194,2.5552196465729087,-53.364332444821144,-65.57368417867339,-4.4034708654983276e-11,0.03717284699622116
GLUN,-14.448119756944626,0.8598395736154263,-13.52152729923291,-0.0,,0.0
PRMICI,-9.77860710150586,1.3482617167971542,-9.820536767375794,-9.343839413397385,-8.170075888856571e-10,0.03717284699622116
GLUPRT,-70.0879690388357,2.72337521655249,-67.47801161348852,-89.35896508032857,-3.144882012005099e-11,0.17531404909967288
SERAT,-6.19970017924708,2.9318707535840414,-6.167436710051949,-28.96651115658939,-1.1465544463233535e-10,0.09646231766814796
CYSS,-50.852271424810255,5.237531617134726,-51.293291746693235,-53.630389593900794,-5.510906152303806e-11,0.09646231766814796
BPNT,-7.080044146709059,3.1260416564365787,-1.5385193201987732,-31.169081049181372,-1.0456540875579732e-10,0.09646231766814796
PAPSR,-51.47528106964789,6.272417262701619,-50.913774660400314,-66.76885648557835,-4.316663518436193e-11,0.09646231766814796
ASPK,20.92345105459024,2.9318707535841035,16.549018659757763,-6.140544541366658,-0.0006418388824313563,0.4193906846751882
ASAD,-28.080321224836517,1.6927163688108917,-28.055925111925003,-6.140544541366593,-0.000644847800392094,-0.4193906846751882
DAPDC,-11.824331792401557,3.733838386328786,-23.513071412193202,-27.2767850768969,-1.2382146524771506e-10,0.1346478851999224
OCBT,-31.78746484671326,2.9318707535840383,-33.166812130917634,-47.004522014808906,-6.40446818295014e-11,0.11606146170181182
GARFT,-0.6955807698357787,5.595464134286743,4.660056352553601,-6.615917923794853,-5.5051191943006464e-09,0.17531404909967288
PHETA1,-0.4072137719835521,2.07314569142181,1.073943109108491,-20.9297539664243,-1.7696155892539798e-10,-0.07269340178972443
PPND,-10.957663451905455,11.28822052398204,4.474300086831656,-26.482886611344227,-1.2865380362333702e-10,0.054106978291613844
PRAMPC,-44.41041762180828,59929.53645543112,12.931272728979504,-8.595901431763684,-1.065879806401884e-09,0.03717284699622116
GLYCK2,-13.09071836666254,0.7073330661728003,-11.947314631427062,-0.0,,0.0
ACOTA,-3.76788502774095,3.371282446943058,-10.4256564946986,-11.845801036745035,-4.587207850725151e-10,-0.11606146170181182
SULR,-99.3233367039054,4.694120658044252,-101.6619519479968,-106.19927151076917,-2.615582625430016e-11,0.09646231766814796
PRAGSr,-27.88756718402952,2.3158934766187227,-26.218474183603124,-49.15136957002542,-6.084793516543215e-11,0.17531404909967288
PRFGS,11.249863552814007,48207.299067169064,64.23067688835938,-6.821925019629491,-3.840772470675643e-09,0.17531404909967288
PSERT,-11.06679923779108,0.37616354074759,-11.098887513455892,-14.394464614726415,-3.170758816840071e-10,0.6951359271567288
AIRC2,-59.120577378772495,5.984946507606801,-44.582637907818345,-64.05330316245401,-4.519072885097822e-11,0.17531404909967288
GAPD,-1.8293512028185996,0.405626339133743,-1.766508118117395,-6.14054454108978,-0.06961667758501719,-0.9412602384011769
GND,10.39617020138882,3.176340259903543,2.3655277974342845,0.0,,0.0
G6PDH2r,-9.361772644464764,1.3215711000419956,-10.204811215328307,-0.0,,0.0
ME2,12.335045888567802,3.137103713307992,4.639972231756784,-7.157993446646825,-2.5721718366957006e-09,6.879533498072966
ARGSL,-8.66875353522916,4.887377162098045,-5.735409580264941,-18.0244720093396,-2.202234706194512e-10,0.11606146170181182
CBPS,-22.55555221892623,2.6451517260838604,-19.042724601508095,-89.35162014893706,-3.145159058823122e-11,0.24585723448691366
GLU5K,29.490267285826825,2.301329657863792,31.52191686971329,-6.140544541098953,-0.00672153244832988,0.08673651219943072
