coco_id,name,struct,bigg_ACP_equivalent
malPPT,malonyl-PPT,"InChI=1S/C15H27N2O10PS/c1-15(2,9-27-28(24,25)26-3)13(22)14(23)17-5-4-10(18)16-6-7-29-12(21)8-11(19)20/h13,22H,4-9H2,1-3H3,(H,16,18)(H,17,23)(H,19,20)(H,24,25)/p-1/t13-/m0/s1",malACP
acPPT,acetyl-PPT,"InChI=1S/C14H27N2O8PS/c1-10(17)26-8-7-15-11(18)5-6-16-13(20)12(19)14(2,3)9-24-25(21,22)23-4/h12,19H,5-9H2,1-4H3,(H,15,18)(H,16,20)(H,21,22)/t12-/m0/s1",acACP
actPPT,acetoacyl-PPT,"InChI=1S/C16H29N2O9PS/c1-11(19)9-13(21)29-8-7-17-12(20)5-6-18-15(23)14(22)16(2,3)10-27-28(24,25)26-4/h14,22H,5-10H2,1-4H3,(H,17,20)(H,18,23)(H,24,25)/t14-/m0/s1",actACP
3haPPT,3-Hydroxybutanoyl-PPT,"InChI=1S/C16H31N2O9PS/c1-11(19)9-13(21)29-8-7-17-12(20)5-6-18-15(23)14(22)16(2,3)10-27-28(24,25)26-4/h11,14,19,22H,5-10H2,1-4H3,(H,17,20)(H,18,23)(H,24,25)/t11?,14-/m0/s1",3haACP
but2ePPT,2E-butenoyl-PPT,"InChI=1S/C16H29N2O8PS/c1-5-6-13(20)28-10-9-17-12(19)7-8-18-15(22)14(21)16(2,3)11-26-27(23,24)25-4/h5-6,14,21H,7-11H2,1-4H3,(H,17,19)(H,18,22)(H,23,24)/b6-5+/t14-/m0/s1",but2eACP
butPPT,butanoyl-PPT,"InChI=1S/C16H31N2O8PS/c1-5-6-13(20)28-10-9-17-12(19)7-8-18-15(22)14(21)16(2,3)11-26-27(23,24)25-4/h14,21H,5-11H2,1-4H3,(H,17,19)(H,18,22)(H,23,24)/t14-/m0/s1",butACP
3ohexPPT,3-oxohexanoyl-PPT,"InChI=1S/C18H33N2O9PS/c1-5-6-13(21)11-15(23)31-10-9-19-14(22)7-8-20-17(25)16(24)18(2,3)12-29-30(26,27)28-4/h16,24H,5-12H2,1-4H3,(H,19,22)(H,20,25)(H,26,27)/t16-/m0/s1",3ohexACP
3hhexPPT,3-Hydroxyhexanoyl-PPT,"InChI=1S/C18H35N2O9PS/c1-5-6-13(21)11-15(23)31-10-9-19-14(22)7-8-20-17(25)16(24)18(2,3)12-29-30(26,27)28-4/h13,16,21,24H,5-12H2,1-4H3,(H,19,22)(H,20,25)(H,26,27)/t13?,16-/m0/s1",3hhexACP
thex2ePPT,2E-hexenoyl-PPT,"InChI=1S/C18H33N2O8PS/c1-5-6-7-8-15(22)30-12-11-19-14(21)9-10-20-17(24)16(23)18(2,3)13-28-29(25,26)27-4/h7-8,16,23H,5-6,9-13H2,1-4H3,(H,19,21)(H,20,24)(H,25,26)/b8-7+/t16-/m0/s1",thex2eACP
hexPPT,hexenoyl-PPT,"InChI=1S/C18H35N2O8PS/c1-5-6-7-8-15(22)30-12-11-19-14(21)9-10-20-17(24)16(23)18(2,3)13-28-29(25,26)27-4/h16,23H,5-13H2,1-4H3,(H,19,21)(H,20,24)(H,25,26)/t16-/m0/s1",hexACP
3ooctPPT,3-oxooctanoyl-PPT,"InChI=1S/C20H37N2O9PS/c1-5-6-7-8-15(23)13-17(25)33-12-11-21-16(24)9-10-22-19(27)18(26)20(2,3)14-31-32(28,29)30-4/h18,26H,5-14H2,1-4H3,(H,21,24)(H,22,27)(H,28,29)/t18-/m0/s1",3ooctACP
3hoctPPT,3-Hydroxyoctanoyl-PPT,"InChI=1S/C20H39N2O9PS/c1-5-6-7-8-15(23)13-17(25)33-12-11-21-16(24)9-10-22-19(27)18(26)20(2,3)14-31-32(28,29)30-4/h15,18,23,26H,5-14H2,1-4H3,(H,21,24)(H,22,27)(H,28,29)/t15?,18-/m0/s1",3hoctACP
toct2ePPT,2E-octenoyl-PPT,"InChI=1S/C20H37N2O8PS/c1-5-6-7-8-9-10-17(24)32-14-13-21-16(23)11-12-22-19(26)18(25)20(2,3)15-30-31(27,28)29-4/h9-10,18,25H,5-8,11-15H2,1-4H3,(H,21,23)(H,22,26)(H,27,28)/b10-9+/t18-/m0/s1",toct2eACP
ocPPT,octanoyl-PPT,"InChI=1S/C20H39N2O8PS/c1-5-6-7-8-9-10-17(24)32-14-13-21-16(23)11-12-22-19(26)18(25)20(2,3)15-30-31(27,28)29-4/h18,25H,5-15H2,1-4H3,(H,21,23)(H,22,26)(H,27,28)/t18-/m0/s1",ocACP
3odecPPT,3-oxodecanoyl-PPT,"InChI=1S/C22H41N2O9PS/c1-5-6-7-8-9-10-17(25)15-19(27)35-14-13-23-18(26)11-12-24-21(29)20(28)22(2,3)16-33-34(30,31)32-4/h20,28H,5-16H2,1-4H3,(H,23,26)(H,24,29)(H,30,31)/t20-/m0/s1",3odecACP
3hdecPPT,3-Hydroxydecanoyl-PPT,"InChI=1S/C22H43N2O9PS/c1-5-6-7-8-9-10-17(25)15-19(27)35-14-13-23-18(26)11-12-24-21(29)20(28)22(2,3)16-33-34(30,31)32-4/h17,20,25,28H,5-16H2,1-4H3,(H,23,26)(H,24,29)(H,30,31)/t17?,20-/m0/s1",3hdecACP
tdec2ePPT,2E-decenoyl-PPT,"InChI=1S/C22H41N2O8PS/c1-5-6-7-8-9-10-11-12-19(26)34-16-15-23-18(25)13-14-24-21(28)20(27)22(2,3)17-32-33(29,30)31-4/h11-12,20,27H,5-10,13-17H2,1-4H3,(H,23,25)(H,24,28)(H,29,30)/b12-11+/t20-/m0/s1",tdec2eACP
dcaPPT,decanoyl-PPT,"InChI=1S/C22H43N2O8PS/c1-5-6-7-8-9-10-11-12-19(26)34-16-15-23-18(25)13-14-24-21(28)20(27)22(2,3)17-32-33(29,30)31-4/h20,27H,5-17H2,1-4H3,(H,23,25)(H,24,28)(H,29,30)/t20-/m0/s1",dcaACP
3oddecPPT,3-oxododecacnoyl-PPT,"InChI=1S/C24H45N2O9PS/c1-5-6-7-8-9-10-11-12-19(27)17-21(29)37-16-15-25-20(28)13-14-26-23(31)22(30)24(2,3)18-35-36(32,33)34-4/h22,30H,5-18H2,1-4H3,(H,25,28)(H,26,31)(H,32,33)/t22-/m0/s1",3oddecACP
3hddecPPT,3-Hydroxydedecanoyl-PPT,"InChI=1S/C24H47N2O9PS/c1-5-6-7-8-9-10-11-12-19(27)17-21(29)37-16-15-25-20(28)13-14-26-23(31)22(30)24(2,3)18-35-36(32,33)34-4/h19,22,27,30H,5-18H2,1-4H3,(H,25,28)(H,26,31)(H,32,33)/t19?,22-/m0/s1",3hddecACP
tddec2ePPT,2E-dodecenoyl-PPT,"InChI=1S/C24H45N2O8PS/c1-5-6-7-8-9-10-11-12-13-14-21(28)36-18-17-25-20(27)15-16-26-23(30)22(29)24(2,3)19-34-35(31,32)33-4/h13-14,22,29H,5-12,15-19H2,1-4H3,(H,25,27)(H,26,30)(H,31,32)/b14-13+/t22-/m0/s1",tddec2eACP
ddcaPPT,dodecanoyl-PPT,"InChI=1S/C24H47N2O8PS/c1-5-6-7-8-9-10-11-12-13-14-21(28)36-18-17-25-20(27)15-16-26-23(30)22(29)24(2,3)19-34-35(31,32)33-4/h22,29H,5-19H2,1-4H3,(H,25,27)(H,26,30)(H,31,32)/t22-/m0/s1",ddcaACP
3omrsPPT,3-oxotetradecanoyl-PPT,"InChI=1S/C26H49N2O9PS/c1-5-6-7-8-9-10-11-12-13-14-21(29)19-23(31)39-18-17-27-22(30)15-16-28-25(33)24(32)26(2,3)20-37-38(34,35)36-4/h24,32H,5-20H2,1-4H3,(H,27,30)(H,28,33)(H,34,35)/t24-/m0/s1",3omrsACP
3hmrsPPT,3-hydroxytatradecanoyl-PPT,"InChI=1S/C26H51N2O9PS/c1-5-6-7-8-9-10-11-12-13-14-21(29)19-23(31)39-18-17-27-22(30)15-16-28-25(33)24(32)26(2,3)20-37-38(34,35)36-4/h21,24,29,32H,5-20H2,1-4H3,(H,27,30)(H,28,33)(H,34,35)/t21?,24-/m0/s1",3hmrsACP
tmrs2ePPT,2E-tetradecenoyl-PPT,"InChI=1S/C26H49N2O8PS/c1-5-6-7-8-9-10-11-12-13-14-15-16-23(30)38-20-19-27-22(29)17-18-28-25(32)24(31)26(2,3)21-36-37(33,34)35-4/h15-16,24,31H,5-14,17-21H2,1-4H3,(H,27,29)(H,28,32)(H,33,34)/b16-15+/t24-/m0/s1",tmrs2eACP
myrsPPT,tetradecanoyl-PPT,"InChI=1S/C26H51N2O8PS/c1-5-6-7-8-9-10-11-12-13-14-15-16-23(30)38-20-19-27-22(29)17-18-28-25(32)24(31)26(2,3)21-36-37(33,34)35-4/h24,31H,5-21H2,1-4H3,(H,27,29)(H,28,32)(H,33,34)/t24-/m0/s1",myrsACP
3opalmPPT,3-oxohexadecanoyl-PPT,"InChI=1S/C28H53N2O9PS/c1-5-6-7-8-9-10-11-12-13-14-15-16-23(31)21-25(33)41-20-19-29-24(32)17-18-30-27(35)26(34)28(2,3)22-39-40(36,37)38-4/h26,34H,5-22H2,1-4H3,(H,29,32)(H,30,35)(H,36,37)/t26-/m0/s1",3opalmACP
3hpalmPPT,3-hydroxyhexadecanoyl-PPT,"InChI=1S/C28H55N2O9PS/c1-5-6-7-8-9-10-11-12-13-14-15-16-23(31)21-25(33)41-20-19-29-24(32)17-18-30-27(35)26(34)28(2,3)22-39-40(36,37)38-4/h23,26,31,34H,5-22H2,1-4H3,(H,29,32)(H,30,35)(H,36,37)/t23?,26-/m0/s1",3hpalmACP
tpalm2ePPT,2E-hexadecenoyl-PPT,"InChI=1S/C28H53N2O8PS/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-25(32)40-22-21-29-24(31)19-20-30-27(34)26(33)28(2,3)23-38-39(35,36)37-4/h17-18,26,33H,5-16,19-23H2,1-4H3,(H,29,31)(H,30,34)(H,35,36)/b18-17+/t26-/m0/s1",tpalm2eACP
palmPPT,hexadecanoyl-PPT,"InChI=1S/C28H55N2O8PS/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-25(32)40-22-21-29-24(31)19-20-30-27(34)26(33)28(2,3)23-38-39(35,36)37-4/h26,33H,5-23H2,1-4H3,(H,29,31)(H,30,34)(H,35,36)/t26-/m0/s1",palmACP
3ooctdPPT,3-oxooctadecanoyl-PPT,"InChI=1S/C30H57N2O9PS/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-25(33)23-27(35)43-22-21-31-26(34)19-20-32-29(37)28(36)30(2,3)24-41-42(38,39)40-4/h28,36H,5-24H2,1-4H3,(H,31,34)(H,32,37)(H,38,39)/t28-/m0/s1",3ooctdACP
3hoctaPPT,3-hydroxyoctadecanoyl-PPT,"InChI=1S/C30H59N2O9PS/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-25(33)23-27(35)43-22-21-31-26(34)19-20-32-29(37)28(36)30(2,3)24-41-42(38,39)40-4/h25,28,33,36H,5-24H2,1-4H3,(H,31,34)(H,32,37)(H,38,39)/t25?,28-/m0/s1",3hoctaACP
toctd2ePPT,2E-octadecenoyl-PPT,"InChI=1S/C30H57N2O8PS/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-27(34)42-24-23-31-26(33)21-22-32-29(36)28(35)30(2,3)25-40-41(37,38)39-4/h19-20,28,35H,5-18,21-25H2,1-4H3,(H,31,33)(H,32,36)(H,37,38)/b20-19+/t28-/m0/s1",toctd2eACP
ocdcaPPT,octadecanoyl-PPT,"InChI=1S/C30H59N2O8PS/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-27(34)42-24-23-31-26(33)21-22-32-29(36)28(35)30(2,3)25-40-41(37,38)39-4/h28,35H,5-25H2,1-4H3,(H,31,33)(H,32,36)(H,37,38)/t28-/m0/s1",ocdcaACP
cdec3ePPT,cis-3-decenoyl-PPT,"InChI=1S/C22H41N2O8PS/c1-5-6-7-8-9-10-11-12-19(26)34-16-15-23-18(25)13-14-24-21(28)20(27)22(2,3)17-32-33(29,30)31-4/h10-11,20,27H,5-9,12-17H2,1-4H3,(H,23,25)(H,24,28)(H,29,30)/b11-10-/t20-/m1/s1",cdec3eACP
3ocddec5ePPT,3-oxo-cis-5-dodecenoyl-PPT,"InChI=1S/C24H43N2O9PS/c1-5-6-7-8-9-10-11-12-19(27)17-21(29)37-16-15-25-20(28)13-14-26-23(31)22(30)24(2,3)18-35-36(32,33)34-4/h10-11,22,30H,5-9,12-18H2,1-4H3,(H,25,28)(H,26,31)(H,32,33)/b11-10-/t22-/m1/s1",3ocddec5eACP
3hcddec5ePPT,(3R)-hydroxy-(5Z)-dodecenoyl-PPT,"InChI=1S/C24H45N2O9PS/c1-5-6-7-8-9-10-11-12-19(27)17-21(29)37-16-15-25-20(28)13-14-26-23(31)22(30)24(2,3)18-35-36(32,33)34-4/h10-11,19,22,27,30H,5-9,12-18H2,1-4H3,(H,25,28)(H,26,31)(H,32,33)/b11-10-/t19-,22+/m0/s1",3hcddec5eACP
t3c5ddecePPT,"(2E,5Z)-dodec-2,5-dienoyl-PPT","InChI=1S/C24H43N2O8PS/c1-5-6-7-8-9-10-11-12-13-14-21(28)36-18-17-25-20(27)15-16-26-23(30)22(29)24(2,3)19-34-35(31,32)33-4/h10-11,13-14,22,29H,5-9,12,15-19H2,1-4H3,(H,25,27)(H,26,30)(H,31,32)/b11-10-,14-13+/t22-/m1/s1",t3c5ddeceACP
cddec5ePPT,(5Z)-dodecenoyl-PPT,"InChI=1S/C24H45N2O8PS/c1-5-6-7-8-9-10-11-12-13-14-21(28)36-18-17-25-20(27)15-16-26-23(30)22(29)24(2,3)19-34-35(31,32)33-4/h10-11,22,29H,5-9,12-19H2,1-4H3,(H,25,27)(H,26,30)(H,31,32)/b11-10-/t22-/m1/s1",cddec5eACP
3ocmrs7ePPT,3-oxo-(7Z)-tetradecenoyl-PPT,"InChI=1S/C26H47N2O9PS/c1-5-6-7-8-9-10-11-12-13-14-21(29)19-23(31)39-18-17-27-22(30)15-16-28-25(33)24(32)26(2,3)20-37-38(34,35)36-4/h10-11,24,32H,5-9,12-20H2,1-4H3,(H,27,30)(H,28,33)(H,34,35)/b11-10-/t24-/m1/s1",3ocmrs7eACP
3hcmrs7ePPT,3R-hydroxy-(7Z)-tetradecenoyl-PPT,"InChI=1S/C26H49N2O9PS/c1-5-6-7-8-9-10-11-12-13-14-21(29)19-23(31)39-18-17-27-22(30)15-16-28-25(33)24(32)26(2,3)20-37-38(34,35)36-4/h10-11,21,24,29,32H,5-9,12-20H2,1-4H3,(H,27,30)(H,28,33)(H,34,35)/b11-10-/t21-,24+/m0/s1",3hcmrs7eACP
t3c7mrsePPT,"(2E,7Z)-tetradeca-2,7-dienoyl-PPT","InChI=1S/C26H47N2O8PS/c1-5-6-7-8-9-10-11-12-13-14-15-16-23(30)38-20-19-27-22(29)17-18-28-25(32)24(31)26(2,3)21-36-37(33,34)35-4/h10-11,15-16,24,31H,5-9,12-14,17-21H2,1-4H3,(H,27,29)(H,28,32)(H,33,34)/b11-10-,16-15+/t24-/m1/s1",t3c7mrseACP
tdePPT,(7Z)-tetradecenoyl-PPT,"InChI=1S/C26H49N2O8PS/c1-5-6-7-8-9-10-11-12-13-14-15-16-23(30)38-20-19-27-22(29)17-18-28-25(32)24(31)26(2,3)21-36-37(33,34)35-4/h10-11,24,31H,5-9,12-21H2,1-4H3,(H,27,29)(H,28,32)(H,33,34)/b11-10-/t24-/m1/s1",tdeACP
3ocpalm9ePPT,3-oxo-(9Z)-hexadecenoyl-PPT,"InChI=1S/C28H51N2O9PS/c1-5-6-7-8-9-10-11-12-13-14-15-16-23(31)21-25(33)41-20-19-29-24(32)17-18-30-27(35)26(34)28(2,3)22-39-40(36,37)38-4/h10-11,26,34H,5-9,12-22H2,1-4H3,(H,29,32)(H,30,35)(H,36,37)/b11-10-/t26-/m1/s1",3ocpalm9eACP
3hcpalm9ePPT,(3R)-hydroxy-(9Z)-hexadecenoyl-PPT,"InChI=1S/C28H53N2O9PS/c1-5-6-7-8-9-10-11-12-13-14-15-16-23(31)21-25(33)41-20-19-29-24(32)17-18-30-27(35)26(34)28(2,3)22-39-40(36,37)38-4/h10-11,23,26,31,34H,5-9,12-22H2,1-4H3,(H,29,32)(H,30,35)(H,36,37)/b11-10-/t23-,26+/m0/s1",3hcpalm9eACP
t3c9palmePPT,"(2E,9Z)-hexadeca-2,9-dienoyl-PPT","InChI=1S/C28H51N2O8PS/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-25(32)40-22-21-29-24(31)19-20-30-27(34)26(33)28(2,3)23-38-39(35,36)37-4/h10-11,17-18,26,33H,5-9,12-16,19-23H2,1-4H3,(H,29,31)(H,30,34)(H,35,36)/b11-10-,18-17+/t26-/m1/s1",t3c9palmeACP
hdePPT,(9Z)-hexadecenoyl-PPT,"InChI=1S/C28H53N2O8PS/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-25(32)40-22-21-29-24(31)19-20-30-27(34)26(33)28(2,3)23-38-39(35,36)37-4/h10-11,26,33H,5-9,12-23H2,1-4H3,(H,29,31)(H,30,34)(H,35,36)/b11-10-/t26-/m1/s1",hdeACP
3ocvac11ePPT,3-oxo-(11Z)-octadecenoyl-PPT,"InChI=1S/C30H55N2O9PS/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-25(33)23-27(35)43-22-21-31-26(34)19-20-32-29(37)28(36)30(2,3)24-41-42(38,39)40-4/h10-11,28,36H,5-9,12-24H2,1-4H3,(H,31,34)(H,32,37)(H,38,39)/b11-10-/t28-/m1/s1",3ocvac11eACP
3hcvac11ePPT,"(3R,11Z)-hydroxyoctadecenoyl-PPT","InChI=1S/C30H57N2O9PS/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-25(33)23-27(35)43-22-21-31-26(34)19-20-32-29(37)28(36)30(2,3)24-41-42(38,39)40-4/h10-11,25,28,33,36H,5-9,12-24H2,1-4H3,(H,31,34)(H,32,37)(H,38,39)/b11-10-/t25-,28+/m0/s1",3hcvac11eACP
t3c11vacePPT,"(2E,11Z)-octadeca-2,11-dienoyl-PPT","InChI=1S/C30H55N2O8PS/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-27(34)42-24-23-31-26(33)21-22-32-29(36)28(35)30(2,3)25-40-41(37,38)39-4/h10-11,19-20,28,35H,5-9,12-18,21-25H2,1-4H3,(H,31,33)(H,32,36)(H,37,38)/b11-10-,20-19+/t28-/m1/s1",t3c11vaceACP
octePPT,(11Z)-octadecenoyl-PPT,"InChI=1S/C30H57N2O8PS/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-27(34)42-24-23-31-26(33)21-22-32-29(36)28(35)30(2,3)25-40-41(37,38)39-4/h10-11,28,35H,5-9,12-25H2,1-4H3,(H,31,33)(H,32,36)(H,37,38)/b11-10-/t28-/m1/s1",octeACP
PPTCH3,phosphopantetheine-CH3,"InChI=1S/C12H25N2O7PS/c1-12(2,8-21-22(18,19)20-3)10(16)11(17)14-5-4-9(15)13-6-7-23/h10,16,23H,4-8H2,1-3H3,(H,13,15)(H,14,17)(H,18,19)/t10-/m0/s1",ACP
grxrd_active_site,glutaredoxin_reduced_active_site,"InChI=1S/C22H33N5O5S2/c1-23-17(12-34)22(32)27-9-3-4-18(27)21(31)25-15(10-13-5-7-14(28)8-6-13)20(30)26-16(11-33)19(29)24-2/h5-8,15-18,23,28,33-34H,3-4,9-12H2,1-2H3,(H,24,29)(H,25,31)(H,26,30)/t15-,16?,17?,18+/m0/s1",grxrd
grxox_active_site,glutaredoxin_oxidised_active_site,"InChI=1S/C22H31N5O5S2/c1-23-17-12-34-33-11-16(19(29)24-2)26-20(30)15(10-13-5-7-14(28)8-6-13)25-21(31)18-4-3-9-27(18)22(17)32/h5-8,15-18,23,28H,3-4,9-12H2,1-2H3,(H,24,29)(H,25,31)(H,26,30)/t15-,16?,17?,18+/m0/s1",grxox
